time,time_preload,format,i,col_idx,num_cols,num_rows
38,33,parquet,2,1,800,100000
38,33,parquet,2,2,800,100000
38,33,parquet,2,0,1000,100000
39,43,parquet,2,1,1000,100000
39,34,parquet,2,2,1000,100000
12.4742,7.50582,orc,2,0,10,100000
12.9377,7.45353,orc,2,1,10,100000
12.2975,7.3985199999999995,orc,2,2,10,100000
12.8804,7.4894,orc,2,0,50,100000
11.8418,7.34474,orc,2,1,50,100000
12.4542,7.44604,orc,2,2,50,100000
13.1665,7.68511,orc,2,0,100,100000
13.251000000000001,7.6491299999999995,orc,2,1,100,100000
13.6151,7.878960000000001,orc,2,2,100,100000
14.322899999999999,8.27754,orc,2,0,150,100000
14.071800000000001,8.350810000000001,orc,2,1,150,100000
14.852300000000001,8.28556,orc,2,2,150,100000
15.625,9.44033,orc,2,0,200,100000
17.4663,9.64191,orc,2,1,200,100000
16.7714,9.58372,orc,2,2,200,100000
21.426199999999998,13.415,orc,2,0,400,100000
21.9035,13.3477,orc,2,1,400,100000
22.9039,14.050500000000001,orc,2,2,400,100000
30.0274,20.415599999999998,orc,2,0,600,100000
31.2169,20.638299999999997,orc,2,1,600,100000
31.415499999999998,20.6992,orc,2,2,600,100000
42.2695,31.8004,orc,2,0,800,100000
44.5189,31.9317,orc,2,1,800,100000
44.0103,31.7677,orc,2,2,800,100000
55.768699999999995,43.4188,orc,2,0,1000,100000
57.8537,43.5521,orc,2,1,1000,100000
58.488400000000006,43.854200000000006,orc,2,2,1000,100000
35,30,parquet,3,0,10,100000
36,30,parquet,3,1,10,100000
35,30,parquet,3,2,10,100000
35,30,parquet,3,0,50,100000
35,30,parquet,3,1,50,100000
35,30,parquet,3,2,50,100000
35,30,parquet,3,0,100,100000
35,30,parquet,3,1,100,100000
36,30,parquet,3,2,100,100000
36,31,parquet,3,0,150,100000
36,31,parquet,3,1,150,100000
35,31,parquet,3,2,150,100000
35,31,parquet,3,0,200,100000
36,31,parquet,3,1,200,100000
36,31,parquet,3,2,200,100000
36,32,parquet,3,0,400,100000
37,32,parquet,3,1,400,100000
36,31,parquet,3,2,400,100000
37,32,parquet,3,0,600,100000
37,32,parquet,3,1,600,100000
38,32,parquet,3,2,600,100000
38,33,parquet,3,0,800,100000
39,33,parquet,3,1,800,100000
38,33,parquet,3,2,800,100000
39,34,parquet,3,0,1000,100000
39,34,parquet,3,1,1000,100000
39,34,parquet,3,2,1000,100000
13.9774,7.53517,orc,3,0,10,100000
12.413499999999999,7.41509,orc,3,1,10,100000
12.5448,7.48028,orc,3,2,10,100000
12.0502,7.3561700000000005,orc,3,0,50,100000
12.086599999999999,7.46226,orc,3,1,50,100000
12.3796,7.41591,orc,3,2,50,100000
13.351999999999999,7.670599999999999,orc,3,0,100,100000
12.8992,7.648750000000001,orc,3,1,100,100000
13.6137,7.664149999999999,orc,3,2,100,100000
13.893,8.3183,orc,3,0,150,100000
14.927,8.45868,orc,3,1,150,100000
15.1753,8.27705,orc,3,2,150,100000
16.0995,9.62049,orc,3,0,200,100000
16.238599999999998,9.60017,orc,3,1,200,100000
16.3486,9.603240000000001,orc,3,2,200,100000
21.8045,13.4329,orc,3,0,400,100000
22.677,13.4325,orc,3,1,400,100000
22.218,13.4763,orc,3,2,400,100000
30.6916,20.720599999999997,orc,3,0,600,100000
30.1343,20.347,orc,3,1,600,100000
31.3808,20.651200000000003,orc,3,2,600,100000
42.726800000000004,31.910500000000003,orc,3,0,800,100000
44.8135,31.507100000000005,orc,3,1,800,100000
